,Epochs,Current_State,Pit_Position,Goal_Position,Wall_Position,Action,Reward,Next_State,Epsilon_Boolean,Q_Max,Q1_Current,Q2_Current,Q3_Current,Q4_Current,Q1_Next,Q2_Next,Q3_Next,Q4_Next,Q_Next_Max,Y
24496,2805,5,10,2,1,0,-1,5,0,2.383648633956909,2.383648633956909,1.5376884937286377,-0.3199369311332702,2.2015113830566406,2.2765767574310303,1.4695831537246704,-0.1749001294374466,2.321775436401367,2.321775436401367,1.0895978927612306
24500,2805,7,10,2,1,2,-1,6,0,3.621377229690552,3.074254274368286,1.8644903898239136,3.621377229690552,2.5410079956054688,7.614180088043213,0.4625236690044403,4.06522274017334,5.007564067840576,7.614180088043213,5.852762079238892
24501,2805,6,10,2,1,0,10,2,0,7.598943710327148,7.598943710327148,0.5167666673660278,4.087248802185059,5.12283992767334,3.7191641330718994,6.411602020263672,4.4775567054748535,5.697298526763916,6.411602020263672,10.0
24502,2806,8,10,5,2,3,-1,9,0,8.342331886291504,6.96293830871582,4.028828144073486,5.0682244300842285,8.342331886291504,9.455850601196287,4.464090347290039,4.354072570800781,5.290540218353272,9.455850601196287,7.510265541076661
24504,2807,2,15,4,9,2,-1,1,0,5.867894172668457,5.199836254119873,4.998970031738281,5.867894172668457,3.651081323623657,5.175657272338867,6.673420906066895,7.957894325256348,5.611566066741943,7.957894325256348,6.162104892730713
24509,2807,0,15,4,9,0,-1,0,0,8.198991775512695,8.198991775512695,8.06043815612793,7.39743185043335,4.449355602264404,8.20799446105957,8.0802583694458,7.442883014678955,4.491779327392578,8.20799446105957,6.387195014953614
24510,2807,0,15,4,9,1,10,4,0,8.003691673278809,7.9830217361450195,8.003691673278809,7.336935997009277,4.411965847015381,8.297906875610352,7.195194244384766,8.525588035583496,7.629062652587891,8.525588035583496,10.0
24511,2808,14,2,3,7,0,-1,10,0,0.7075886130332947,0.7075886130332947,-0.5761945247650146,-0.5014201402664185,0.4159168004989624,3.196654796600342,0.8090022802352905,1.4615378379821775,1.0361335277557373,3.196654796600342,1.876989316940308
24513,2808,6,2,3,7,3,-1,6,0,2.822154998779297,-4.533823013305664,1.542327642440796,1.518933892250061,2.822154998779297,-4.440566539764404,1.5955572128295898,1.5981929302215576,2.8812448978424072,2.8812448978424072,1.593120408058167
24516,2808,1,2,3,7,3,-10,2,0,5.2019147872924805,2.5615148544311523,3.3945558071136475,1.6597261428833008,5.2019147872924805,5.024024963378906,5.134154319763184,2.529237508773804,7.381770133972168,7.381770133972168,-3.356406879425049
